year,Q4_country,Q12_coding language_Python,Q12_coding language_R,Q12_coding language_SQL,Q12_coding language_C,Q12_coding language_C++,Q12_coding language_Java,Q12_coding language_Javascript,Q12_coding language_Bash,Q12_coding language_MATLAB,Q12_coding language_Julia
2020,Colombia,Python,R,SQL,C,,,Javascript,,MATLAB,
2020,United States of America,Python,R,SQL,,,,,,,
2020,Argentina,,,,,,Java,Javascript,Bash,,
2020,United States of America,Python,,SQL,,,,,Bash,,
2020,Japan,Python,,,,,,,,,
2020,India,Python,R,,,,,,,,
2020,Brazil,Python,R,,C,,,,,,
2020,China,,R,,,,,,,,
2020,Germany,Python,,SQL,,,,,Bash,,
2020,China,Python,,SQL,,,,,,,
2020,India,Python,R,SQL,C,,Java,,,,
2020,United States of America,,R,,,,,,,,
2020,Indonesia,Python,R,SQL,,,,,,MATLAB,
2020,Canada,Python,,SQL,,,,,,MATLAB,
2020,Switzerland,Python,R,,,,,,,,
2020,India,,R,SQL,,,,,,,
2020,Other,,,SQL,,,,,,,
2020,Singapore,Python,,,,,Java,Javascript,Bash,,
2020,India,Python,,SQL,C,C++,,Javascript,,,
2020,India,Python,,,,,Java,Javascript,,,
2020,India,,R,SQL,,C++,,,,,
2020,Russia,Python,,SQL,,,,,,,
2020,Canada,Python,,,,,,,,,
2020,South Africa,Python,,SQL,,,,,,,
2020,United States of America,Python,,,C,C++,,,,,
2020,United States of America,Python,R,,,,,,,,
2020,India,Python,,,C,C++,Java,,,,
2020,Egypt,Python,,,,,Java,,,,
2020,Netherlands,Python,,,,,,,,,
2020,Russia,Python,,,,,,,Bash,,
2020,Pakistan,Python,R,SQL,,,,Javascript,,,
2020,India,Python,,,C,C++,Java,Javascript,,,
2020,Other,Python,,,,,,Javascript,,,
2020,India,Python,,SQL,C,C++,,,,MATLAB,
2020,United States of America,,,,,,,,,,
2020,India,,,,,,,,,,
2020,Nepal,Python,,SQL,,,,Javascript,,,
2020,Indonesia,Python,R,SQL,,,Java,,,,
2020,South Korea,Python,R,,,,,,,,
2020,India,Python,,,C,C++,,,,,
2020,United States of America,Python,R,SQL,,,,,,,
2020,Indonesia,,,,,C++,,,,,
2020,India,,,SQL,C,C++,Java,,,MATLAB,
2020,Poland,Python,R,,,,,,,,
2020,Belarus,Python,,,,,,,,,
2020,India,Python,,,C,,,,,,
2020,India,,,,,,,,,,
2020,Other,Python,,SQL,,,Java,Javascript,,,
2020,Tunisia,Python,,,,,,,,,
2020,Ukraine,Python,,SQL,,,,,,,
2020,Belgium,,,,,,,,,,
2020,United States of America,,,,,,,,,,
2020,United States of America,Python,,SQL,C,C++,,,Bash,,
2020,Germany,,,,,,,,,,
2020,Pakistan,,,,,C++,,Javascript,,,
2020,Saudi Arabia,,,,,,,,,,
2020,Taiwan,Python,,SQL,C,,,,,,
2020,Brazil,Python,,,,C++,,,,MATLAB,
2020,United States of America,Python,,SQL,,,,,,,
2020,India,Python,,,,,,,,,
2020,Indonesia,,R,SQL,C,,,Javascript,,,
2020,Other,Python,,SQL,,,Java,Javascript,,MATLAB,
2020,Nigeria,Python,,,,,,,,,
2020,India,Python,,,C,C++,,,,,
2020,Germany,Python,R,,,,,,,,
2020,China,Python,,,,,,,,,
2020,China,Python,,,,,,,,,
2020,Italy,Python,,SQL,C,,,,,,
2020,India,Python,,,,,Java,,,,
2020,Taiwan,Python,,,,,,,,,
2020,United States of America,Python,R,SQL,,,,,Bash,,
2020,Taiwan,Python,,,C,,,,,MATLAB,
2020,India,Python,,,,,,,,,
2020,Other,Python,,SQL,,,,,,,
2020,Other,,R,,,,,,,,
2020,Spain,,R,SQL,,,,,Bash,,
2020,Singapore,Python,,,,,Java,Javascript,,,
2020,India,Python,R,SQL,C,,Java,,,,
2020,Russia,Python,,SQL,,,,,Bash,,
2020,United States of America,,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,Other,Python,,SQL,,,,Javascript,,,
2020,Other,Python,,,,,,,,,
2020,United Arab Emirates,Python,,,,C++,,,,,
2020,India,,,,,,,,,,
2020,India,Python,,SQL,,,,Javascript,,,
2020,Other,Python,,,,C++,Java,,,,
2020,Spain,Python,,SQL,,,,,,,
2020,India,Python,,SQL,C,C++,,,,,
2020,Colombia,Python,R,,,,,,,,
2020,India,Python,,SQL,,,,Javascript,,,
2020,Mexico,Python,R,,,,,,,,
2020,Canada,Python,,,,,,,,,
2020,India,Python,,SQL,,C++,,Javascript,,MATLAB,
2020,India,Python,,,,,,Javascript,,,
2020,India,,,,,,,,,,
2020,India,Python,,,C,,,,,,
2020,India,Python,,,,,,,,,
2020,Other,,,,,,,,,,
2020,Nigeria,,,,,,,,,,
2020,Viet Nam,Python,,,,,,,,,
2020,Poland,Python,,,,,,,,,
2020,Thailand,,,,,,,,,,
2020,United Kingdom of Great Britain and Northern Ireland,Python,,,,,,,,,
2020,Other,Python,,,,,,,,,
2020,Egypt,Python,,,,C++,,,,,
2020,India,Python,,SQL,C,C++,Java,Javascript,,,
2020,United States of America,Python,R,SQL,,,,,,,Julia
2020,France,Python,,,,,,,Bash,,Julia
2020,India,Python,,,C,C++,Java,,,,
2020,Brazil,Python,,,,,,,,,
2020,Argentina,,,,,,,,,,
2020,Colombia,Python,,,,,,,,,
2020,Mexico,Python,R,,,,,,,,
2020,Egypt,Python,R,SQL,,,,,,,
2020,United States of America,,R,,,,,,,,
2020,Viet Nam,,,,C,,Java,,,,
2020,India,Python,,,C,,Java,,,,
2020,Other,Python,,,,,,,,MATLAB,
2020,United States of America,Python,R,SQL,,,,,,,
2020,Ghana,Python,,,,,Java,Javascript,,,
2020,Russia,Python,,,,,,Javascript,,,
2020,Japan,,,,,,,,,,
2020,United States of America,Python,,SQL,,,,,,,
2020,India,Python,,,C,C++,,,,,
2020,Poland,Python,,,,,,,,,
2020,Ghana,Python,,,,,,,,,
2020,India,Python,,SQL,,,,,,,
