year,Q4_country,Q3_gender
2020,Colombia,Man
2020,United States of America,Man
2020,Argentina,Man
2020,United States of America,Man
2020,Japan,Man
2020,India,Man
2020,Brazil,Man
2020,China,Woman
2020,Germany,Man
2020,China,Man
2020,India,Man
2020,United States of America,Man
2020,Indonesia,Man
2020,Canada,Man
2020,Switzerland,Man
2020,India,Woman
2020,Other,Woman
2020,Singapore,Man
2020,India,Man
2020,India,Man
2020,India,Woman
2020,Russia,Man
2020,Canada,Woman
2020,South Africa,Man
2020,United States of America,Man
2020,United States of America,Woman
2020,India,Man
2020,Egypt,Man
2020,Netherlands,Man
2020,Russia,Man
2020,Pakistan,Woman
2020,India,Man
2020,Other,Man
2020,India,Woman
2020,United States of America,Woman
2020,India,Man
2020,Nepal,Man
2020,Indonesia,Man
2020,South Korea,Man
2020,India,Man
2020,United States of America,Man
2020,Indonesia,Man
2020,India,Man
2020,Poland,Man
2020,Belarus,Woman
2020,India,Man
2020,India,Man
2020,Other,Man
2020,Tunisia,Woman
2020,Ukraine,Man
2020,Belgium,Woman
2020,United States of America,Man
2020,United States of America,Man
2020,Germany,Man
2020,Pakistan,Man
2020,Saudi Arabia,Man
2020,Taiwan,Man
2020,Brazil,Woman
2020,United States of America,Man
2020,India,Man
2020,Indonesia,Woman
2020,Other,Woman
2020,Nigeria,Man
2020,India,Prefer to self-describe
2020,Germany,Man
2020,China,Man
2020,China,Woman
2020,Italy,Woman
2020,India,Man
2020,Taiwan,Woman
2020,United States of America,Man
2020,Taiwan,Man
2020,India,Woman
2020,Other,Man
2020,Other,Man
2020,Spain,Man
2020,Singapore,Prefer not to say
2020,India,Man
2020,Russia,Man
2020,United States of America,Man
2020,India,Man
2020,Other,Man
2020,Other,Woman
2020,United Arab Emirates,Man
2020,India,Man
2020,India,Man
2020,Other,Man
2020,Spain,Woman
2020,India,Man
2020,Colombia,Man
2020,India,Man
2020,Mexico,Woman
2020,Canada,Man
2020,India,Man
2020,India,Man
2020,India,Man
2020,India,Woman
2020,India,Man
2020,Other,Woman
2020,Nigeria,Woman
2020,Viet Nam,Man
2020,Poland,Woman
2020,Thailand,Woman
2020,United Kingdom of Great Britain and Northern Ireland,Man
2020,Other,Man
2020,Egypt,Man
2020,India,Woman
2020,United States of America,Man
2020,France,Woman
2020,India,Man
2020,Brazil,Man
2020,Argentina,Man
